date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (19h);isTp;gain heure SL (18h);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;-40,705563;0;-40,705563;0;0;-85,481682;0;-40,705563;0;0
04/01/06;-186,008896;0;-186,008896;0;0;-250,707643;0;-186,008896;0;0
05/01/06;-52,208835;0;-52,208835;0;0;-44,176707;0;-52,208835;0;0
06/01/06;281,652361;0;281,652361;0;0;317,864807;0;281,652361;0;0
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;0;0;0;0;0
09/01/06;19,936204;0;19,936204;0;0;-59,808612;0;19,936204;0;0
10/01/06;-4,004806;0;-4,004806;0;0;24,028835;0;-4,004806;0;0
11/01/06;-236;0;-240;0;1;-272;0;-240;0;1
12/01/06;154,987416;0;154,987416;0;0;158,961452;0;154,987416;0;0
13/01/06;-51,861702;0;-51,861702;0;0;-107,712766;0;-51,861702;0;0
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;0;0;0;0;0
16/01/06;47,644256;0;47,644256;0;0;47,644256;0;47,644256;0;0
17/01/06;138,980807;0;138,980807;0;0;162,806089;0;138,980807;0;0
18/01/06;-24,016011;0;-24,016011;0;0;-24,016011;0;-24,016011;0;0
19/01/06;60,329803;0;60,329803;0;0;100,549672;0;60,329803;0;0
20/01/06;68,090788;0;68,090788;0;0;72,096128;0;68,090788;0;0
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;0;0;0;0;0
23/01/06;47,770701;0;47,770701;0;0;7,961783;0;47,770701;0;0
24/01/06;15,968064;0;15,968064;0;0;11,976048;0;15,968064;0;0
25/01/06;-59,816563;0;-59,816563;0;0;-91,718729;0;-59,816563;0;0
26/01/06;63,567739;0;63,567739;0;0;63,567739;0;63,567739;0;0
27/01/06;-15,946844;0;-15,946844;0;0;-31,893688;0;-15,946844;0;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;0;0;0;0;0
30/01/06;-59,904153;0;-59,904153;0;0;95,846645;0;-59,904153;0;0
31/01/06;-219,473264;0;-219,473264;0;0;-227,45411;0;-219,473264;0;0
01/02/06;114,942529;0;114,942529;0;0;134,760206;0;114,942529;0;0
02/02/06;91,657811;0;91,657811;0;0;71,7322;0;91,657811;0;0
03/02/06;159,299084;0;159,299084;0;0;143,369176;0;159,299084;0;0
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;0;0;0;0;0
06/02/06;-164,658635;0;-164,658635;0;0;-184,738956;0;-164,658635;0;0
07/02/06;-4,03497;0;-4,03497;0;0;8,069939;0;-4,03497;0;0
08/02/06;32,493907;0;32,493907;0;0;97,481722;0;32,493907;0;0
09/02/06;36,452005;0;36,452005;0;0;24,301337;0;36,452005;0;0
